Mark,Competitor,DOB,Nat,Pos,Venue,Date
1:18.63,Jamaica,,JAM,1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
1:18.68,Santa Monica Track Club,,USA,1,"Walnut, CA (USA)",17 APR 1994
1:19.10,World All-Stars,,INT,2,"Walnut, CA (USA)",17 APR 1994
1:19.11,Santa Monica Track Club,,USA,1,"Philadelphia, PA (USA)",23 APR 1992
1:19.16,United States Red,,USA,1,"Philadelphia, PA (USA)",26 APR 2003
1:19.20,Canada,,CAN,1f1,"Gainesville, FL (USA)",02 APR 2016
1:19.38,Santa Monica Track Club,,USA,1,Koblenz (GER),23 AUG 1989
1:19.39,United States Blue,,USA,1,"Philadelphia, PA (USA)",28 APR 2001
1:19.42,Canada,,CAN,1,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017
1:19.45,Santa Monica Track Club,,USA,1,"Philadelphia, PA (USA)",27 APR 1991
1:19.47,NIKE,,USA,1,"Philadelphia, PA (USA)",24 APR 1999
1:19.62,United States Red,,USA,1,"Philadelphia, PA (USA)",24 APR 2004
1:19.67,TCU,,INT,1,"Philadelphia, PA (USA)",29 APR 2000
1:19.71,TCU,,INT,1h,"Philadelphia, PA (USA)",27 APR 2001
1:19.73,United States,,USA,1h1,"International Stadium, Yokohama (JPN)",12 MAY 2019
1:19.85,NIKE,,USA,1,"Philadelphia, PA (USA)",25 APR 1998
1:19.88,Austin All-Stars,,INT,1,"Austin, TX (USA)",03 APR 1999
1:19.88,United States,,USA,2,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017
1:19.91,HSI,,INT,2,"Austin, TX (USA)",03 APR 1999
1:19.91,Canada,,CAN,1f1,"Gainesville, FL (USA)",01 APR 2017
1:19.92,NIKE,,USA,1f2,"Philadelphia, PA (USA)",29 APR 2000
1:19.99,TCU,,INT,1,"Philadelphia, PA (USA)",27 APR 2001
1:20.07,UTech,,INT,1f1,"Philadelphia, PA (USA)",26 APR 2014
1:20.12,United States,,USA,1f1,"International Stadium, Yokohama (JPN)",12 MAY 2019
1:20.15,Jamaica,,JAM,1h1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
1:20.17,Canada,,CAN,1f1,"Gainesville, FL (USA)",30 MAR 2019
1:20.19,Jamaica,,JAM,1h1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
1:20.22,Georgia,,INT,1f2,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023
1:20.23,Tobias Striders,,INT,1,"Tempe, AZ (USA)",27 MAY 1978
1:20.26,USC,,USA,2,"Tempe, AZ (USA)",27 MAY 1978
1:20.29,Texas A&M,,INT,2f1,"Philadelphia, PA (USA)",26 APR 2014
1:20.32,Texas A&M,,INT,1,"Philadelphia, PA (USA)",25 APR 2009
1:20.38,Florida,,USA,1,"Gainesville, FL (USA)",03 APR 2010
1:20.39,TCU,,INT,1h3,"Philadelphia, PA (USA)",28 APR 2000
1:20.42,Octagon,,INT,1,"Austin, TX (USA)",07 APR 2001
1:20.42,South Africa,,RSA,2f1,"International Stadium, Yokohama (JPN)",12 MAY 2019
1:20.44,HSI,,INT,2,"Austin, TX (USA)",07 APR 2001
1:20.45,Louisiana State,,INT,1f2,"Austin, TX (USA)",09 APR 2011
1:20.51,Saint Kitts and Nevis,,SKN,2,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
