Mark,Competitor,DOB,Nat,Pos,Venue,Date
14:22.22,Kenya,,KEN,1,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
14:34.97,Nike/Bowerman Track Club B,,USA,1,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020
14:36.23,Kenya,,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
14:38.8h,Federal Republic of Germany,,FRG,1,Köln (GER),17 AUG 1977
14:40.4h,New Zealand,,NZL,1,Oslo (NOR),22 AUG 1973
14:40.80,United States,,USA,2,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
14:41.22,Ethiopia,,ETH,3,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
14:44.31,Mixed Team,,INT,2,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
14:44.69,Nike/Bowerman Track Club,,USA,2,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020
14:45.63,Soviet Union,,URS,1,Leningrad (URS),04 AUG 1985
14:46.04,Australia,,AUS,4,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
14:46.16,Larios,,ESP,1,Madrid (ESP),05 SEP 1997
14:46.3h,United States,,USA,,Bourges (FRA),24 JUN 1979
14:46.92,Australia,,AUS,3,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
14:47.57,United States,,USA,4,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
14:48.2h,France,,FRA,,Bourges (FRA),23 JUN 1979
14:48.23,United States,,USA,1,Dublin (IRL),28 AUG 1987
14:48.6h,Kenya,,KEN,1,Nairobi (KEN),04 APR 2014
14:49.0h,France,,FRA,1,St-Maur (FRA),25 JUN 1965
14:50.2h,New Zealand,,NZL,1,Auckland (NZL),17 MAY 1975
14:50.2h,Arkansas,,UND,1,"Philadelphia, PA (USA)",27 APR 1985
14:50.82,South Africa,,RSA,1,Port Elizabeth (RSA),15 OCT 1984
14:52.13,Arkansas Track Club,,INT,1,"Philadelphia, PA (USA)",29 APR 2000
14:52.37,Reebok Enclave,,USA,2,"Philadelphia, PA (USA)",29 APR 2000
14:52.52,France,,FRA,1,Nice (FRA),18 SEP 2011
14:52.81,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 1984
14:52.81,Arkansas,,INT,1,"Philadelphia, PA (USA)",30 APR 1994
14:53.34,Georgetown,,USA,1,"Philadelphia, PA (USA)",27 APR 1991
14:53.43,Arkansas,,INT,2,"Philadelphia, PA (USA)",28 APR 1984
14:53.8h,France,,FRA,1,Colombes (FRA),02 OCT 1971
14:54.3h,Kenya,,KEN,1,Nairobi (KEN),22 MAR 2014
14:54.5h,Kenya B,,KEN,2,Nairobi (KEN),04 APR 2014
14:54.57,England,,GBR,5,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
14:54.77,Kenya,,KEN,1,Nairobi (KEN),26 APR 2014
