Mark,Competitor,DOB,Nat,Pos,Venue,Date
37:25.21,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020
37:25.90,Koki IKEDA,03 MAY 1998,JPN,2.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020
37:35.00,Yuta KOGA,15 JUL 1999,JPN,3.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020
37:53.09,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1.0,Santa Cruz de Tenerife (ESP),27 JUL 2008
37:57.02,Perseus KARLSTRÖM,02 MAY 1990,SWE,,"Morton Stadium, Dublin (IRL)",26 JUN 2022
37:58.08,Daisuke MATSUNAGA,24 MAR 1995,JPN,1.0,Kitami (JPN),07 JUL 2018
37:58.6h,Ivano BRUGNETTI,01 SEP 1976,ITA,1.0,Sesto San Giovanni (ITA),23 JUL 2005
38:01.5h,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,Nagasaki (JPN),13 DEC 2015
38:02.60,Jozef PRIBILINEC,06 JUL 1960,TCH,1.0,Banská Bystrica (TCH),30 AUG 1985
38:03.78,Declan TINGAY,06 FEB 1999,AUS,1.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023
38:03.95,Perseus KARLSTRÖM,02 MAY 1990,SWE,1.0,"Olympiastadion, Stockholm (SWE)",24 AUG 2019
38:06.28,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,Gijón (ESP),24 JUL 2016
38:06.6h,David SMITH,24 JUL 1955,AUS,1.0,Sydney (AUS),25 SEP 1986
38:08.13,Yohann DINIZ,01 JAN 1978,FRA,1.0,Reims (FRA),12 JUL 2014
38:10.23,Yusuke SUZUKI,02 JAN 1988,JPN,1.0,Abashiri (JPN),16 JUL 2015
38:12.13,Ronald WEIGEL,08 AUG 1959,GDR,1.0,Potsdam (GDR),11 MAY 1986
38:14.24,Vasiliy MIZINOV,29 DEC 1997,ANA,1.0,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022
38:15.86,Koki IKEDA,03 MAY 1998,JPN,1.0,"Nagaragawa Stadium, Gifu (JPN)",24 SEP 2022
38:18.55,Gabriel BORDIER,08 OCT 1997,FRA,1.0,"Stade Helitas, Caen (FRA)",26 JUN 2022
38:20.0h,Moacir ZIMMERMANN,30 DEC 1983,BRA,1.0,Blumenau (BRA),07 JUN 2008
38:20.9h,David SMITH,24 JUL 1955,AUS,1.0,Sydney (AUS),15 SEP 1985
38:21.88,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,Kitakami (JPN),09 OCT 2016
38:23.73,Zhen WANG,24 AUG 1991,CHN,1.0,Genova (ITA),08 FEB 2015
38:23.95,Masatora KAWANO,23 OCT 1998,JPN,4.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020
38:24.31,Hatem GHOULA,07 JUN 1973,TUN,,Tunis (TUN),30 MAY 1998
38:26.4h,Daniel GARCÍA CORDOVA,28 OCT 1971,MEX,1.0,Sønder Omme (DEN),17 MAY 1997
38:26.53,Robert KORZENIOWSKI,30 JUL 1968,POL,1.0,Riga (LAT),31 MAY 2002
38:27.09,Yusuke SUZUKI,02 JAN 1988,JPN,1.0,Yamaguchi (JPN),11 OCT 2014
38:27.57,Robert HEFFERNAN,28 FEB 1978,IRL,1.0,Dublin (IRL),19 JUL 2008
38:28.05,Massimo STANO,27 FEB 1992,ITA,1.0,Roma (ITA),28 APR 2019
38:28.19,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,"Municipal Stadium, Sasebo (JPN)",08 DEC 2019
38:30.38,Zhen WANG,24 AUG 1991,CHN,1.0,Tianjin (CHN),16 SEP 2012
38:30.61,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Sydney (AUS),05 APR 2019
38:32.0h,Erik TYSSE,04 DEC 1980,NOR,1.0,Bergen (NOR),13 JUN 2008
38:33.10,Anton KURBATOV,10 FEB 2001,RUS,2.0,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022
38:34.23,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Sydney (AUS),31 MAR 2017
38:35.43,Perseus KARLSTRÖM,02 MAY 1990,SWE,2.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023
38:36.37,Evan DUNFEE,28 SEP 1990,CAN,1.0,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022
38:37.02,Kevin CAMPION,23 MAY 1988,FRA,1.0,Paris (FRA),13 JUL 2013
38:37.6h,Jefferson PÉREZ,01 JUL 1974,ECU,1.0,Bergen (NOR),09 MAY 1998
38:37.90,Walter ARENA,30 MAY 1964,ITA,1.0,Catania (ITA),13 APR 1990
38:39.28,Perseus KARLSTRÖM,02 MAY 1990,SWE,1.0,Tampere (FIN),01 SEP 2018
38:39.72,Evan DUNFEE,28 SEP 1990,CAN,1.0,"Swangard Stadium, Burnaby (CAN)",12 JUN 2021
38:40.04,Koki IKEDA,03 MAY 1998,JPN,2.0,Kitami (JPN),07 JUL 2018
38:40.18,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1.0,Cesenatico (ITA),01 JUL 1995
38:40.22,Daisuke MATSUNAGA,24 MAR 1995,JPN,2.0,Kitakami (JPN),09 OCT 2016
38:40.25,Christopher LINKE,24 OCT 1988,GER,1.0,Bühlertal (GER),11 JUN 2016
38:40.92,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,Cartagena (ESP),17 APR 2021
38:41.17,Andriy YURIN,20 JAN 1984,UKR,1.0,Kyiv (UKR),21 JUN 2005
38:41.45,Koki IKEDA,03 MAY 1998,JPN,1.0,"Denka Big Swan Stadium, Niigata (JPN)",12 SEP 2020
38:42.33,Declan TINGAY,06 FEB 1999,AUS,2.0,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022
38:42.38,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1.0,Torremolinos (ESP),11 JUL 1999
38:44.13,Veli-Matti PARTANEN,28 OCT 1991,FIN,2.0,Tampere (FIN),01 SEP 2018
38:44.61,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,"SOPAC, Sydney (AUS)",01 APR 2016
38:44.66,David HURTADO,21 APR 1999,ECU,1.0,Guayaquil (ECU),18 APR 2021
38:44.87,Nathan DEAKES,17 AUG 1977,AUS,1.0,Canberra (AUS),08 FEB 2002
