Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:54.29,United States,,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993
2:55.39,United States,,USA,1,"National Stadium, Beijing (CHN)",23 AUG 2008
2:55.56,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
2:55.70,United States,,USA,1,"National Stadium, Tokyo (JPN)",07 AUG 2021
2:55.74,United States,,USA,1,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992
2:55.91,United States,,USA,1,"Olympic Stadium, Athina (GRE)",28 AUG 2004
2:55.99,United States,,USA,1,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
2:56.16,United States,,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
2:56.16,United States,,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
2:56.17,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022
2:56.60,Great Britain & NI,,GBR,2,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
2:56.65,Great Britain & NI,,GBR,1,"Olympic Stadium, Athina (GRE)",10 AUG 1997
2:56.69,United States,,USA,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019
2:56.72,Bahamas,,BAH,1,"Olympic Stadium, London (GBR)",10 AUG 2012
2:56.75,Jamaica,,JAM,2,"Olympic Stadium, Athina (GRE)",10 AUG 1997
2:56.91,United States,,USA,1,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
2:57.05,United States,,USA,2,"Olympic Stadium, London (GBR)",10 AUG 2012
2:57.18,Netherlands,,NED,2,"National Stadium, Tokyo (JPN)",07 AUG 2021
2:57.25,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
2:57.27,Botswana,,BOT,3,"National Stadium, Tokyo (JPN)",07 AUG 2021
2:57.29,United States,,USA,1,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
2:57.30,United States,,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016
2:57.32,United States,,USA,1,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995
2:57.32,Bahamas,,BAH,2,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
2:57.53,Great Britain & NI,,GBR,1,"National Stadium, Tokyo (JPN)",01 SEP 1991
2:57.57,United States,,USA,2,"National Stadium, Tokyo (JPN)",01 SEP 1991
2:57.59,Bahamas,,BAH,2f1,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
2:57.72,Adidas,,INT,1f1,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022
2:57.74,Florida,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023
2:57.76,Florida,,INT,1f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023
2:57.77,United States,,USA,1h1,"National Stadium, Tokyo (JPN)",06 AUG 2021
2:57.78,Arizona State,,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023
2:57.82,United States,,USA,1,"National Stadium, Beijing (CHN)",30 AUG 2015
2:57.86,United States,,USA,1,"Olympiastadion, Berlin (GER)",23 AUG 2009
2:57.87,United States,,USA,1sf2,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996
2:57.88,Belgium,,BEL,4,"National Stadium, Tokyo (JPN)",07 AUG 2021
2:57.90,Jamaica,,JAM,2,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019
2:57.91,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984
2:57.97,Jamaica,,JAM,1,Winnipeg (CAN),30 JUL 1999
2:58.00,Poland,,POL,1,"New York, NY (USA)",22 JUL 1998
2:58.01,Alabama,,INT,2f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023
2:58.03,Bahamas,,BAH,2,"National Stadium, Beijing (CHN)",23 AUG 2008
2:58.07,Jamaica,,JAM,3,"Olympiastadion, Helsinki (FIN)",14 AUG 2005
2:58.12,Trinidad and Tobago,,TTO,1,"Olympic Stadium, London (GBR)",13 AUG 2017
2:58.13,United States,,USA,1h2,"National Stadium, Beijing (CHN)",29 AUG 2015
2:58.16,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016
2:58.19,Bahamas,,BAH,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001
2:58.20,Trinidad and Tobago,,TTO,2,"National Stadium, Beijing (CHN)",30 AUG 2015
