Mark,Competitor,DOB,Nat,Pos,Venue,Date
7:50.17,Soviet Union,,URS,1,Moskva (URS),05 AUG 1984
7:51.62,Soviet Union B,,URS,2,Moskva (URS),05 AUG 1984
7:52.24,Soviet Union,,URS,1,Leningrad (URS),04 AUG 1985
7:52.4h,Soviet Union,,URS,1,Podolsk (URS),16 AUG 1976
7:54.2h,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),06 AUG 1976
7:56.6h,Russia,,URS,1,Donetsk (URS),09 SEP 1980
7:56.6h,Ukraine,,URS,2,Donetsk (URS),09 SEP 1980
7:56.9h,Leningrad,,URS,3f1,Donetsk (URS),09 SEP 1980
7:57.08,Russia,,RUS,1,Portsmouth (GBR),05 JUN 1993
7:57.21,Romania,,ROU,2,Portsmouth (GBR),05 JUN 1993
7:58.5h,Lithuania,,URS,4,Donetsk (URS),09 SEP 1980
7:59.6h,Russia,,URS,1,Moskva (URS),25 JUL 1979
8:00.62,United States,,USA,1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:00.84,Russia,,URS,1,Bryansk (URS),16 JUL 1987
8:01.58,United States,,USA,1,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
8:01.63,Moskva,,URS,2,Bryansk (URS),19 JUL 1987
8:01.9h,Leningrad,,URS,1,Tbilisi (GEO),16 SEP 1978
8:02.0h,Russia,,URS,2,Tbilisi (GEO),16 SEP 1978
8:03.2h,Ukraine,,URS,2,Moskva (URS),24 JUL 1979
8:03.84,Bulgaria,,BUL,1,Sofia (BUL),28 AUG 1982
8:03.85,Belarus,,BLR,3,Portsmouth (GBR),05 JUN 1993
8:04.28,Kenya,,KEN,2,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
8:04.31,United States Red,,USA,1,"Philadelphia, PA (USA)",27 APR 2013
8:04.9h,Leningrad,,URS,3,Moskva (URS),24 JUL 1979
8:05.2h,Moskva,,URS,4,Moskva (URS),24 JUL 1979
8:05.24,Bulgaria,,BUL,1,Sofia (BUL),30 AUG 1975
8:06.28,Ukraine,,UKR,4,Portsmouth (GBR),05 JUN 1993
8:07.58,Kenya,,KEN,2,"Philadelphia, PA (USA)",27 APR 2013
8:07.65,All Stars,,INT,1,"Eugene, OR (USA)",26 JUL 2014
8:08.39,Pacific Northwest,,USA,2,"Eugene, OR (USA)",26 JUL 2014
8:08.6h,Bulgaria,,BUL,1,Sofia (BUL),12 AUG 1973
8:10.99,United States Blue,,USA,3,"Philadelphia, PA (USA)",27 APR 2013
8:11.36,Poland,,POL,2,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:12.5h,Moskva,,URS,3,Tbilisi (GEO),16 SEP 1978
8:13.26,Australia,,AUS,3,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
8:13.46,Great Britain & NI,,GBR,4,"Philadelphia, PA (USA)",27 APR 2013
8:13.97,Australia,,AUS,3,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:14.76,New Jersey-New York TC,,USA,3,"Eugene, OR (USA)",26 JUL 2014
8:14.85,Canada,,CAN,5,"Philadelphia, PA (USA)",27 APR 2013
8:15.7h,Russia,,RUS,1,Sheffield (GBR),05 JUN 1992
8:15.84,Cuba,,CUB,4,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:16.0h,Soviet Union,,URS,1,Bourges (FRA),19 JUN 1977
8:16.04,Jamaica,,JAM,5,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:16.2h,Liaoning,,CHN,1,Shanghai (CHN),01 OCT 1991
8:16.27,Canada,,CAN,6,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
8:16.36,United States,,USA,1,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017
8:16.8h,Federal Republic of Germany,,FRG,1,Lübeck (GER),31 JUL 1971
8:16.97,Germany,,GER,5,Portsmouth (GBR),05 JUN 1993
8:17.09,Athletics West,,USA,1,"Walnut, CA (USA)",24 APR 1983
8:17.22,Jamaica,,JAM,4,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
8:17.45,Villanova,,USA,1f1,"Philadelphia, PA (USA)",27 APR 2013
8:17.54,France,,FRA,5,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
8:17.62,Oregon,,INT,2f1,"Philadelphia, PA (USA)",27 APR 2013
8:17.91,Tennessee,,USA,1,"Philadelphia, PA (USA)",21 APR 2009
8:18.14,All-Star B,,INT,4,"Eugene, OR (USA)",26 JUL 2014
8:18.2h,German Democratic Republic B,,GDR,2,Karl Marx Stadt (GDR),06 AUG 1976
8:18.22,Tennessee,,USA,1,"Philadelphia, PA (USA)",24 APR 2010
8:18.78,Michigan,,UND,1,"Philadelphia, PA (USA)",28 APR 2007
8:18.96,Australia,,AUS,6,"Philadelphia, PA (USA)",27 APR 2013
8:19.3h,Italy,,ITA,2,Sheffield (GBR),05 JUN 1992
8:19.43,Louisiana State,,INT,3f1,"Philadelphia, PA (USA)",27 APR 2013
8:19.47,South Africa,,RSA,1,Johannesburg (RSA),13 FEB 1985
8:19.77,Louisiana State,,INT,2,"Philadelphia, PA (USA)",24 APR 2010
8:19.9h,United States,,USA,1,Bourges (FRA),23 JUN 1979
8:19.9h,Great Britain & NI,,GBR,3,Sheffield (GBR),05 JUN 1992
8:20.07,Belarus,,BLR,2,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017
8:20.22,Tennessee,,INT,1,"Philadelphia, PA (USA)",27 APR 1984
8:20.32,Bashkortostan Region,,RUS,1,"Adler, Sochi (RUS)",04 SEP 2014
8:20.66,Villanova,,USA,2,"Philadelphia, PA (USA)",27 APR 1984
8:20.69,LSU,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023
8:20.73,Great Britain & NI,,GBR,6,Portsmouth (GBR),05 JUN 1993
8:21.08,Australia,,AUS,3,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017
