Mark,Competitor,DOB,Nat,Pos,Venue,Date
3:15.17,Soviet Union,,URS,1,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
3:15.51,United States,,USA,2,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
3:15.92,German Democratic Republic,,GDR,1,Erfurt (GER),03 JUN 1984
3:16.71,United States,,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993
3:16.85,United States,,USA,1,"National Stadium, Tokyo (JPN)",07 AUG 2021
3:16.87,German Democratic Republic,,GDR,1,"Neckarstadion, Stuttgart (GER)",31 AUG 1986
3:16.87,United States,,USA,1,"Olympic Stadium, London (GBR)",11 AUG 2012
3:17.79,United States,,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022
3:17.83,United States,,USA,1,"Olympiastadion, Berlin (GER)",23 AUG 2009
3:18.09,United States,,USA,1,"DS, Daegu (KOR)",03 SEP 2011
3:18.29,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984
3:18.29,German Democratic Republic,,GDR,3,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
3:18.38,Russia,,RUS,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993
3:18.43,Soviet Union,,URS,1,"National Stadium, Tokyo (JPN)",01 SEP 1991
3:18.54,United States,,USA,1,"National Stadium, Beijing (CHN)",23 AUG 2008
3:18.55,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
3:18.58,Soviet Union,,URS,1,Moskva (URS),18 AUG 1985
3:18.63,German Democratic Republic,,GDR,1,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
3:18.71,Jamaica,,JAM,2,"DS, Daegu (KOR)",03 SEP 2011
3:18.92,United States,,USA,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019
3:19.01,United States,,USA,1,"Olympic Stadium, Athina (GRE)",28 AUG 2004
3:19.02,United States,,USA,1,"Olympic Stadium, London (GBR)",13 AUG 2017
3:19.04,German Democratic Republic,,GDR,1,"Olympic Stadium, Athina (GRE)",11 SEP 1982
3:19.06,United States,,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016
3:19.12,Soviet Union,,URS,1,Praha (TCH),18 AUG 1984
3:19.13,Jamaica,,JAM,1,"National Stadium, Beijing (CHN)",30 AUG 2015
3:19.23,German Democratic Republic,,GDR,1,"Olympic Stadium, Montréal (CAN)",31 JUL 1976
3:19.39,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015
3:19.44,United States,,USA,2,"National Stadium, Beijing (CHN)",30 AUG 2015
3:19.49,German Democratic Republic,,GDR,1,"Bruce Stadium, Canberra (AUS)",04 OCT 1985
3:19.50,Soviet Union,,URS,2,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
3:19.60,United States,,USA,1,"Walnut, CA (USA)",25 JUL 1984
3:19.62,German Democratic Republic,,GDR,1,Torino (ITA),05 AUG 1979
3:19.66,German Democratic Republic,,GDR,1,Düsseldorf (GER),20 JUN 1988
3:19.73,German Democratic Republic,,GDR,1,"Olympiastadion, Helsinki (FIN)",14 AUG 1983
3:19.73,Jamaica,,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
3:19.83,German Democratic Republic,,GDR,1,Zagreb (CRO),16 AUG 1981
3:19.84,Americas,,INT,1,"Olympic Stadium, Athina (GRE)",17 SEP 2006
3:20.04,Great Britain & NI,,GBR,3,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
3:20.10,German Democratic Republic,,GDR,2,Moskva (URS),18 AUG 1985
3:20.15,United States,,USA,2,"National Stadium, Tokyo (JPN)",01 SEP 1991
3:20.16,Russia,,RUS,2,"Olympic Stadium, Athina (GRE)",28 AUG 2004
3:20.20,Unified Team,,EUN,1,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992
3:20.21,German Democratic Republic,,GDR,1,Erfurt (GER),23 JUN 1985
3:20.23,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),10 JUL 1982
3:20.25,Russia,,RUS,4,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
3:20.32,Czechoslovakia,,TCH,2,"Olympiastadion, Helsinki (FIN)",14 AUG 1983
3:20.32,Russia,,RUS,1h1,"Olympiastadion, Helsinki (FIN)",13 AUG 2005
3:20.34,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016
3:20.37,German Democratic Republic,,GDR,1,"Olympic Stadium, Montréal (CAN)",24 AUG 1979
3:20.39,Soviet Union,,URS,2,Torino (ITA),05 AUG 1979
3:20.40,Jamaica,,JAM,2,"National Stadium, Beijing (CHN)",23 AUG 2008
3:20.41,Soviet Union,,URS,1,Praha (TCH),28 JUN 1987
3:20.41,United States,,USA,1,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013
3:20.53,Poland,,POL,2,"National Stadium, Tokyo (JPN)",07 AUG 2021
3:20.60,Soviet Union,,URS,2,"Bruce Stadium, Canberra (AUS)",04 OCT 1985
3:20.60,German Democratic Republic,,GDR,2,Praha (TCH),28 JUN 1987
3:20.62,German Democratic Republic,,GDR,1,"Stadio Olimpico, Roma (ITA)",04 SEP 1981
3:20.65,Jamaica,,JAM,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001
3:20.69,United States,,USA,2,"Olympic Stadium, Athina (GRE)",17 SEP 2006
