Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
21.34,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1.3
21.45,Shericka JACKSON,16 JUL 1994,JAM,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.6
21.53,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,0.8
21.55,Shericka JACKSON,16 JUL 1994,JAM,1,"National Stadium, Kingston (JAM)",26 JUN 2022,0.0
21.56,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1sf1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1.7
21.61,Gabrielle THOMAS,07 DEC 1996,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1.3
21.62,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",11 SEP 1998,-0.6
21.63,Dafne SCHIPPERS,15 JUN 1992,NED,1,"National Stadium, Beijing (CHN)",28 AUG 2015,0.2
21.64,Merlene OTTEY,10 MAY 1960,JAM,1,Bruxelles (BEL),13 SEP 1991,0.8
21.66,Merlene OTTEY,10 MAY 1960,JAM,1f1,Zürich (SUI),15 AUG 1990,-1.0
21.66,Elaine THOMPSON,28 JUN 1992,JAM,2,"National Stadium, Beijing (CHN)",28 AUG 2015,0.2
21.66,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,0.3
21.67,Shericka JACKSON,16 JUL 1994,JAM,1sf1,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,2.0
21.69,Allyson FELIX,18 NOV 1985,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1.0
21.71,Marita KOCH,18 FEB 1957,GDR,1,Karl Marx Stadt (GDR),10 JUN 1979,0.7
21.71,Marita KOCH,18 FEB 1957,GDR,1,Potsdam (GDR),21 JUL 1984,0.3
21.71,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),29 JUN 1986,1.2
21.71,Heike DRECHSLER,16 DEC 1964,GDR,1,"Neckarstadion, Stuttgart (GER)",29 AUG 1986,-0.8
21.72,Grace JACKSON,14 JUN 1961,JAM,2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1.3
21.72,Gwen TORRENCE,12 JUN 1965,USA,1sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,-0.1
21.74,Marlies GÖHR,21 MAR 1958,GDR,1,Erfurt (GER),03 JUN 1984,0.4
21.74,Silke MÖLLER,20 JUN 1964,GDR,1,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1.2
21.74,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,"National Stadium, Beijing (CHN)",21 AUG 2008,0.6
21.74,Shaunae MILLER-UIBO,15 APR 1994,BAH,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,-0.4
21.75,Juliet CUTHBERT,09 APR 1964,JAM,2sf2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,-0.1
21.76,Marita KOCH,18 FEB 1957,GDR,1,Dresden (GER),03 JUL 1982,0.3
21.76,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,0.7
21.76,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),13 AUG 1997,-0.8
21.77,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf2,"Indianapolis, IN (USA)",22 JUL 1988,-0.1
21.77,Merlene OTTEY,10 MAY 1960,JAM,1,"Stade Louis II, Monaco (MON)",07 AUG 1993,1.0
21.77,Gwen TORRENCE,12 JUN 1965,USA,1,Köln (GER),18 AUG 1995,-0.3
21.77,Inger MILLER,12 JUN 1972,USA,1,"La Cartuja, Sevilla (ESP)",27 AUG 1999,0.6
21.77,Tori BOWIE,27 AUG 1990,USA,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1.5
21.77,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,-0.3
21.78,Marita KOCH,18 FEB 1957,GDR,1,Leipzig (GER),11 AUG 1985,-1.3
21.78,Elaine THOMPSON,28 JUN 1992,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,-0.1
21.78,Christine MBOMA,22 MAY 2003,NAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.6
21.79,Silke MÖLLER,20 JUN 1964,GDR,1,Potsdam (GDR),22 AUG 1987,1.7
21.79,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Kingston (JAM)",27 JUN 2021,0.8
21.8,Merlene OTTEY,10 MAY 1960,JAM,1,Nice (FRA),10 JUL 1990,-1.1
21.8,Marion JONES,12 OCT 1975,USA,1,"New York, NY (USA)",20 JUL 1998,0.4
21.8,Abby STEINER,24 NOV 1999,USA,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1.3
21.8,Abby STEINER,24 NOV 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,0.9
21.8,Shericka JACKSON,16 JUL 1994,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,-0.9
21.81,Valerie BRISCO-HOOKS,06 JUL 1960,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",09 AUG 1984,-0.1
21.81,Merlene OTTEY,10 MAY 1960,JAM,1,Köln (GER),19 AUG 1990,0.4
21.81,Gwen TORRENCE,12 JUN 1965,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,-0.6
21.81,Gwen TORRENCE,12 JUN 1965,USA,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,0.0
21.81,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",30 MAY 1999,1.6
21.81,Allyson FELIX,18 NOV 1985,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1.7
21.81,Christine MBOMA,22 MAY 2003,NAM,2,"National Stadium, Tokyo (JPN)",03 AUG 2021,0.8
21.81,Shericka JACKSON,16 JUL 1994,JAM,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.6
21.81,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,2,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.6
