Mark,Competitor,DOB,Nat,Pos,Venue,Date
41:37.9h,Hongmiao GAO,17 MAR 1974,CHN,1,Beijing (CHN),07 APR 1994
41:42.5h,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,Mukachevo (UKR),01 NOV 2014
41:45.84,Elvira KHASANOVA,10 JAN 2000,RUS,1,Cheboksary (RUS),03 AUG 2019
41:56.23,Nadezhda RYASHKINA,22 JAN 1967,URS,1,"Seattle, WA (USA)",24 JUL 1990
41:57.22,Kerry SAXBY,02 JUN 1961,AUS,2,"Seattle, WA (USA)",24 JUL 1990
41:57.29,Antonella PALMISANO,06 AUG 1991,ITA,1,Orvieto (ITA),23 APR 2017
42:02.99,Lorena ARENAS,17 SEP 1993,COL,1,Trujillo (PER),25 AUG 2018
42:11.5h,Beate ANDERS,04 FEB 1968,GER,1,Fana (NOR),15 MAY 1992
42:13.7h,Madelein SVENSSON,20 JUL 1969,SWE,2,Fana (NOR),15 MAY 1992
42:14.12,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Gijón (ESP),23 JUL 2016
42:22.6h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),08 MAY 1993
42:23.37,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),26 JUL 2014
42:23.7h,Ileana SALVADOR,16 JAN 1962,ITA,2,Fana (NOR),08 MAY 1993
42:23.9h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,3,Fana (NOR),15 MAY 1992
42:25.2h,Kerry SAXBY,02 JUN 1961,AUS,1,Bergen (NOR),26 MAY 1990
42:26.29,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),10 JAN 1993
42:27.5h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),25 MAY 1995
42:29.06,Elisa RIGAUDO,17 JUN 1980,ITA,1,Mondovi (ITA),01 MAY 2013
42:29.4h,Beate ANDERS,04 FEB 1968,GDR,2,Bergen (NOR),26 MAY 1990
42:30.13,Hongmiao GAO,17 MAR 1974,CHN,1,Nanjing (CHN),24 OCT 1995
42:30.31,Olimpiada IVANOVA,29 AUG 1970,RUS,1,St. Petersburg (RUS),26 JUL 1994
42:32.74,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),27 JUL 2013
42:34.30,Jemima MONTAG,15 FEB 1998,AUS,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022
42:35.2h,Jemima MONTAG,15 FEB 1998,AUS,1,"George Knott Track, Collingwood, Melbourne (AUS)",31 JAN 2021
42:35.69,Beatriz PASCUAL,09 MAY 1982,ESP,2,Gijón (ESP),23 JUL 2016
42:37.0h,Sari ESSAYAH,21 FEB 1967,FIN,3,Fana (NOR),08 MAY 1993
